kepid,nu_max,delta_nu,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
757137,29.676,3.398,2MASS J19241341+3633358,4706,81.0,-103.0,2.374,0.028999999999999998,-0.027000000000000003,-0.1,0.28,-0.34,2.061,1.148,-1.049,15.447000000000001,3.572,-4.603,0.0007876000000000001,0.00034679999999999997,-0.00013680000000000002,DSEP,9.196,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.05588,36.559952,11111111111111111,PHO1,AST9,KIC0,7.4670000000000005,0.027000000000000003,6.853,0.018000000000000002,6.722,0.017,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,66.917,78.01899999999999,88.445,96.917,108.63799999999999,128.639,135.834,149.265,167.951,180.143,187.665,195.74400000000003,199.271,223.80900000000003,,,,-2147483648,b'2666-1658-1 ',1635378410781933568,2050230538853176192,1276186,2015.0,291.0558927284404,0.12878321518339175,36.55988733578795,0.18231651054300602,1.62096111626098,0.26898051144516427,-3.9031271759559134,1.0184829348741828,-9.103831432762988,0.9338243710080919,0.25277161598205566,0.4155536890029907,-0.6022483706474304,-0.4574257731437683,0.438444584608078,-0.5083324313163757,-0.5357443690299988,-0.8473552465438843,-0.6085322499275208,0.558129608631134,70,70,69,68,1,2,,0.2869448420308906,71.07264901173053,False,2.9554085731506348,10.628812789916992,2.0589308405760676e-05,5,14,False,0.5377733111381531,0.4257451295852661,0.34428510069847107,0.2069324254989624,-103.7988510131836,74.90787506103516,-3.6958835124969482,2.551030397415161,93,3934492.943161606,4056.893539885208,9.037548137081355,b'NOT_AVAILABLE',69.154238324872,9.77013097252385,302.62546908570215,57.63816665947999,3.763157282930155e-05
1160789,24.326,3.447,2MASS J19233280+3652207,4947,71.0,-170.0,2.298,0.03,-0.025,-0.5,0.14,-0.3,2.466,0.496,-1.33,18.448,2.149,-6.093,0.0005531000000000001,0.0002971,-6.491e-05,DSEP,9.7,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,290.88666,36.872429,11111111111111111,PHO1,AST9,KIC0,8.133,0.021,7.593,0.021,7.497000000000001,0.017,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.8389999999999995,7.105,7.101,7.101,7.1,7.1,7.1,7.1,7.1,72.94,85.23700000000001,96.786,106.29,119.324,142.101,150.554,166.585,189.209,204.63299999999998,214.71099999999998,225.56099999999998,230.31400000000002,264.284,,,,-2147483648,b'2666-1183-1 ',1635378410781933568,2050253869115511552,409353,2015.0,290.8866016761128,0.1136342696365246,36.872278444780285,0.2076086960452814,1.349976873126872,0.32179559184951434,0.1946607284029307,1.8119929114028606,-33.8439664448678,0.6188206617836732,0.4148838222026825,0.42013779282569885,-0.5998051762580872,-0.3192497491836548,0.9524332880973816,-0.8509050011634827,-0.7029645442962646,-0.8827399611473083,-0.6941455602645874,0.6122917532920837,53,53,52,53,1,0,,0.17514048397024298,23.08370673307713,False,1.9701296091079712,26.20119285583496,2.117193434969522e-05,5,8,False,0.4134104549884796,0.23359210789203644,0.4638192653656006,0.6415143013000488,-91.53025817871094,10.149340629577637,3.7401723861694336,-13.135773658752441,69,2366671.5592940366,1056.233615093474,9.5894250842939,b'NOT_AVAILABLE',69.37625372279834,10.031225604523163,302.5366977590458,57.975460530574885,4.841755393127687e-05
1161618,34.421,4.129,2MASS J19242614+3648478,4855,80.0,-161.0,2.457,0.039,-0.032,0.07,0.14,-0.51,3.073,0.279,-1.948,17.156,0.8540000000000001,-6.947,0.0008573000000000001,0.0006077999999999999,-8.365e-05,DSEP,10.219,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.10892,36.81329,11111111111111111,PHO1,AST11,KIC0,8.542,0.018000000000000002,7.974,0.026000000000000002,7.8870000000000005,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,9.214,12.708,12.627,9.631,11.934000000000001,10.392999999999999,9.36,8.631,8.111,7.101,93.189,108.484,123.115,134.97299999999998,150.963,177.498,186.364,203.273,225.437,239.27,248.354,256.996,260.689,284.903,,,,-2147483648,b'2666-1391-1 ',1635378410781933568,2050254968627140736,595319,2015.0,291.1090261018164,0.176356917935968,36.81332934585962,0.24946671196081416,1.2282356018389098,0.35792064806324825,15.146054961767259,1.4825187293647957,7.987134899589062,1.1868513584195184,0.34926459193229675,0.4356493651866913,-0.6054133176803589,-0.4159562289714813,0.6910062432289124,-0.6655514240264893,-0.6508398056030273,-0.8576127290725708,-0.5991728901863098,0.5415222644805908,99,99,97,98,2,1,,0.5667281238847419,484.3208224026442,False,5.5830488204956055,2.8165903091430664,2.8049005777575076e-05,5,16,False,0.4762916564941406,0.22438275814056396,0.3292725086212158,0.29338040947914124,-106.45350646972656,70.6847152709961,1.2561248540878296,-8.696724891662598,121,1498110.7836763794,2984.1168313287258,10.085910238442015,b'NOT_AVAILABLE',69.40353417958991,9.845651210242517,302.8297919765638,57.870898239193785,2.2662662849102318e-05
1162746,26.872,3.75,2MASS J19252639+3649116,4989,94.0,-94.0,2.35,0.012,-0.01,-0.56,0.07,-0.07,0.85,0.08,-0.06,10.25,0.35,-0.27,0.001127,2.817e-05,-2.817e-05,MULT55,11.446,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.35999,36.819889,11111111111111111,PHO55,AST55,SPE55,9.834,0.022000000000000002,9.272,0.02,9.183,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,119.712,134.322,153.286,170.169,190.938,219.859,228.075,243.987,269.085,285.379,295.226,305.231,309.14,334.423,,,,-2147483648,b'2666-262-1  ',1635378410781933568,2050241224731793408,1954236,2015.0,291.3598814867758,0.26188660069167935,36.81981687910959,0.6239648364250927,0.952440311681765,0.9807122289952577,-17.488000096837926,6.1469162942301185,-11.284449888301431,1.5662272056127018,0.8004127144813538,0.8370688557624817,-0.8907383680343628,-0.6800591349601746,0.9789944291114807,-0.9509769678115845,-0.8799467086791992,-0.975862443447113,-0.8517193794250488,0.8128431439399719,89,89,88,85,1,4,,0.5082840187894154,367.2595354739873,False,5.026789665222168,3.6716740131378174,3.902925527654588e-05,5,15,False,0.5385116338729858,0.161164328455925,0.5000537633895874,0.7020283341407776,-111.12834930419922,47.89719009399414,12.119836807250977,-14.512323379516602,113,481855.5797976173,584.676825570061,11.317477832845508,b'NOT_AVAILABLE',69.50095380750774,9.669144889447796,303.1963605497791,57.822777894330564,2.874282003034249e-05
1163453,38.467,4.419,2MASS J19260321+3650022,5026,112.0,-283.0,2.504,0.033,-0.027999999999999997,0.07,0.14,-0.57,3.319,0.044,-2.303,16.891,0.614,-7.7379999999999995,0.0009699999999999999,0.0009103999999999999,-8.613e-05,DSEP,11.978,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.5134,36.83395,11101111111111100,PHO1,AST9,KIC0,10.3,0.022000000000000002,9.742,0.021,9.62,0.018000000000000002,0.8263,1339.474,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,192.92,213.287,240.25900000000001,262.39,288.27,316.94,322.476,332.844,348.23400000000004,354.86400000000003,355.57300000000004,355.217,355.667,354.548,,,,-2147483648,b'2666-342-1  ',1635378410781933568,2051695019623263360,694394,2015.0,291.5133926291642,0.2219530163903982,36.83391754947891,0.45098548994811083,1.0243777254566473,0.5148517862635388,-2.8369642591567716,1.8075301119928227,-6.596101134012173,1.835734174725031,-0.0893583819270134,0.04899413138628006,-0.4748413562774658,0.08563373237848282,0.8205659985542297,-0.587209939956665,-0.8097524046897888,-0.7819241285324097,-0.6199721097946167,0.45984208583831787,79,79,79,71,0,8,,0.6914153894542769,452.3451589750566,False,6.775440692901611,2.036357879638672,3.494912016321905e-05,5,14,False,0.464567631483078,0.205396831035614,0.3834463655948639,0.5843614339828491,-133.51547241210938,75.05900573730469,13.498270988464355,-11.539556503295898,103,305197.49163501343,91.02981218531168,11.813317664073379,b'NOT_AVAILABLE',69.56991350378017,9.565824328939037,303.4255039483339,57.80280846664773,7.728506990522533e-06
1163621,51.131,4.995,2MASS J19261297+3648265,4972,73.0,-137.0,2.634,0.027999999999999997,-0.031,-0.38,0.26,-0.32,1.955,0.908,-0.887,11.152000000000001,2.259,-2.863,0.0019850000000000002,0.0007046,-0.0003485,DSEP,11.790999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.55408,36.807381,11111111111111110,PHO1,AST9,KIC0,10.107000000000001,0.022000000000000002,9.558,0.018000000000000002,9.472999999999999,0.018000000000000002,0.8787,1426.313,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,149.319,163.761,180.298,191.66400000000002,205.222,218.24099999999999,219.90900000000002,222.296,226.30900000000003,225.52900000000002,222.622,219.37599999999998,218.567,210.578,,,,-2147483648,b'2666-55-1   ',1635378410781933568,2051694023190850944,1650481,2015.0,291.55404393785557,0.15233172239624174,36.8073426775282,0.27856511034362813,0.7867080864814218,0.3858643700740604,-5.285797234916902,1.412261761059522,-9.901844710840646,1.274461837444971,0.13776545226573944,0.29456713795661926,-0.5832130908966064,-0.1848713457584381,0.8455685377120972,-0.6664733290672302,-0.6807205080986023,-0.8288913369178772,-0.6650449633598328,0.5574963688850403,89,89,89,86,0,3,,0.4858153815736993,324.80370636116487,False,4.81356954574585,4.03933048248291,2.907670750573743e-05,5,14,False,0.4607200622558594,0.2944176495075226,0.5337367653846741,0.5845121145248413,-106.80754852294922,68.51054382324219,5.001162528991699,-11.720057487487793,104,370394.12132353714,250.21248399799072,11.603109850842046,b'NOT_AVAILABLE',69.56077780536971,9.524787270889274,303.4705608032943,57.76833705734634,7.451611802174217e-06
1294385,106.743,9.074,2MASS J19252149+3654097,5186,75.0,-227.0,2.97,0.024,-0.038,0.07,0.14,-0.57,2.614,0.132,-1.369,8.767000000000001,0.461,-2.6319999999999997,0.005463,0.002303,-0.0004604,DSEP,10.652000000000001,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.33954,36.902691,11111111111111111,PHO1,AST9,KIC0,9.085,0.018000000000000002,8.595,0.021,8.465,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,168.14,176.048,184.02200000000002,185.53799999999998,189.93200000000002,191.725,190.665,188.637,183.162,175.24900000000002,168.32,161.731,159.713,148.674,,,,-2147483648,b'2666-312-1  ',1635378410781933568,2050244729425104896,239487,2015.0,291.3395421659393,0.3549632873461943,36.90271665024839,0.3125790451604156,1.425165422698537,0.5152623111885275,1.2964630802959147,1.335782673366001,3.33663128941075,1.2502724282056519,-0.4637766480445862,-0.6531774401664734,-0.2676748037338257,0.38708019256591797,0.8411940336227417,-0.48969852924346924,-0.8344520330429077,-0.47120973467826843,-0.7131307721138,0.3894442021846771,87,87,85,85,2,2,,0.5391346633053974,314.7334853580009,False,5.320152282714844,3.1100239753723145,2.7863477953360416e-05,5,16,False,0.34853169322013855,0.035463690757751465,0.23554211854934692,0.4859585762023926,-127.31529998779297,28.443233489990234,7.9837470054626465,-5.99252986907959,123,999518.1506427305,676.0241279378873,10.525293351215934,b'NOT_AVAILABLE',69.5686245499134,9.72098824153927,303.20935294255867,57.906976657987634,1.2307512689709134e-05
1433593,68.853,7.084,2MASS J19264298+3704199,4956,87.0,-87.0,2.7230000000000003,0.013999999999999999,-0.013999999999999999,0.11,0.05,-0.05,1.57,0.18,-0.18,9.01,0.4,-0.41,0.003014,8.451e-05,-8.451e-05,MULT55,11.522,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.67911000000004,37.07222,11111111111111111,PHO55,AST55,SPE55,9.825,0.021,9.304,0.021,9.168,0.018000000000000002,0.8755,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,142.774,154.77100000000002,166.419,172.24,180.925,189.83700000000002,191.64,194.47299999999998,196.273,194.39700000000002,190.639,187.537,186.452,179.46599999999998,,,,-2147483648,b'2666-348-1  ',1635378410781933568,2051751025997764864,2029326,2015.0,291.67910118885203,0.14921616192104223,37.07217126672416,0.228471497218033,1.1798024339612585,0.32640249009580197,-3.1880176319258124,1.4402664717088776,-6.986234936162968,1.021342536050413,0.5681255459785461,0.5967507362365723,-0.6706815958023071,-0.45766952633857727,0.7760687470436096,-0.7621192336082458,-0.5830453634262085,-0.8936236500740051,-0.46187862753868103,0.5337800979614258,106,106,106,100,0,6,,0.4740178265698809,334.9325755979835,False,4.701781749725342,4.238209247589111,3.8508464058395475e-05,5,15,False,0.4242406487464905,0.17373329401016235,0.23458024859428406,0.39172860980033875,-98.57635498046875,-77.48929595947266,17.431354522705078,-6.736948013305664,124,454545.83388553443,1408.8652610965237,11.380825859797262,b'NOT_AVAILABLE',69.84613066410607,9.555372000513437,303.78857276226944,57.99535800971475,2.0596173635558762e-05
1433730,40.075,4.117,2MASS J19265020+3703054,4767,83.0,-83.0,2.498,0.011000000000000001,-0.012,-0.06,0.06,-0.06,1.84,0.2,-0.19,12.67,0.58,-0.56,0.001268,4.226e-05,-4.226e-05,MULT55,10.892000000000001,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.7092,37.05151,11111111111111111,PHO55,AST55,SPE55,9.097000000000001,0.022000000000000002,8.507,0.018000000000000002,8.39,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,102.162,115.96799999999999,130.937,142.687,157.965,179.079,184.877,195.003,209.472,217.273,221.29,225.15900000000002,226.956,235.38400000000001,,,,-2147483648,b'2666-211-1  ',1635378410781933568,2051703953156200960,787857,2015.0,291.7091750754603,0.16694394525459866,37.05150608230964,0.43645777459092655,-0.2807223241150939,0.6732066823963181,5.897747829804265,3.9844717511824945,1.9014356112113375,1.1268566921427532,0.8567578792572021,0.870820939540863,-0.8541046380996704,-0.8008243441581726,0.971735417842865,-0.9723026156425476,-0.8691223859786987,-0.98734050989151,-0.8408017754554749,0.8442720174789429,76,76,76,74,0,2,,0.32376861204981483,108.50728849219483,False,3.2934701442718506,8.097492218017578,1.8808545064530335e-05,5,12,False,0.5958618521690369,0.13782300055027008,0.25414082407951355,0.2576190233230591,-101.23246765136719,-85.79524993896484,25.23645782470703,-12.592804908752441,84,808197.4886343298,458.8000432645484,10.755976322348857,b'NOT_AVAILABLE',69.83845554485524,9.524619932141194,303.82125186635363,57.96884780729518,4.6015496872883074e-05
1433803,149.097,12.21,2MASS J19265417+3702187,4999,91.0,-144.0,3.09,0.03,-0.03,-0.06,0.2,-0.3,1.712,0.397,-0.671,6.18,0.6920000000000001,-1.3659999999999999,0.01022,0.0031079999999999997,-0.001213,DSEP,10.193999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.72574,37.038528,11111111111111111,PHO1,AST9,KIC0,8.538,0.02,8.046,0.02,7.942,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,178.85,176.2,179.155,176.264,175.476,168.625,164.797,158.966,150.507,141.295,133.85299999999998,127.20299999999999,125.22399999999999,115.31200000000001,,,,-2147483648,b'2666-175-1  ',1635378410781933568,2051703781357510016,977739,2015.0,291.7257056836715,0.16389950843577833,37.038469927537264,0.242147497926419,2.682590372831948,0.34127034554548363,0.16840875306403813,1.4492796734001068,-13.564598881538872,1.054940947281092,0.5145262479782104,0.5445560216903687,-0.6200301647186279,-0.3857590854167938,0.7472469806671143,-0.7201664447784424,-0.5221168994903564,-0.867133378982544,-0.38403403759002686,0.4632951617240906,106,106,105,104,1,2,,0.5319570413411314,590.6273395859415,False,5.251842498779297,3.078263759613037,2.9373704819590785e-05,5,15,False,0.408255010843277,0.15484565496444702,0.22188518941402435,0.38486048579216003,-100.14073944091797,-74.17568969726562,17.46684455871582,-7.112802505493164,123,1517636.6343846864,3090.736183593663,10.071850560126292,b'NOT_AVAILABLE',69.83272664268914,9.506953504006745,303.8383285242318,57.95266270604266,2.813695560827128e-05
1435573,24.717,3.727,2MASS J19282646+3705369,4821,82.0,-82.0,2.345,0.016,-0.015,0.1,0.05,-0.05,0.97,0.11,-0.1,11.02,0.56,-0.54,0.0010279999999999998,5.634e-05,-5.634e-05,MULT55,11.415,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,292.11026,37.093609,11111111111111111,PHO55,AST55,SPE55,9.69,0.021,9.15,0.022000000000000002,8.991,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.106,7.1,7.1,7.1,7.1,7.1,7.1,7.1,116.75399999999999,131.6,149.632,165.49,185.90400000000002,215.622,224.963,241.72299999999998,268.738,286.805,297.651,309.212,313.91,343.414,,,,-2147483648,b'2666-297-1  ',1635378410781933568,2051714432874062848,237587,2015.0,292.11024595197375,0.14968941398311647,37.0935152158309,0.2136959145270799,0.6361885040173153,0.3231781391667561,1.0813498321815427,1.4438195104713962,-17.15452298570639,1.0299780121140731,0.5578444004058838,0.6313502788543701,-0.7025824785232544,-0.5964062213897705,0.7579635381698608,-0.7688550353050232,-0.6885966658592224,-0.9129209518432617,-0.657927393913269,0.6370667219161987,107,107,107,105,0,2,,0.4438518738135056,281.7873760130884,False,4.416538715362549,4.811326503753662,2.590306212368887e-05,5,16,False,0.4895082116127014,0.1993178278207779,0.23871934413909912,0.24868372082710266,-97.85869598388672,80.2764892578125,3.478994131088257,-3.5419321060180664,123,501209.30371305946,824.1333381564442,11.274722253836629,b'NOT_AVAILABLE',70.02374047208,9.258629878920656,304.4222655852937,57.919688095677536,2.7284405316987193e-05
1569842,134.634,11.756,2MASS J19222920+3710285,5105,84.0,-149.0,3.051,0.03,-0.03,-0.22,0.22,-0.32,1.86,0.27,-0.804,6.733,0.5529999999999999,-1.6680000000000001,0.008584,0.0030399999999999997,-0.0008994999999999999,DSEP,11.085999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,290.62167,37.174599,11111111111111111,PHO1,AST9,KIC0,9.589,0.022000000000000002,9.074,0.016,8.988999999999999,0.018000000000000002,0.8755,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,191.917,190.00900000000001,192.24900000000002,189.27,189.394,184.734,181.75900000000001,176.41400000000002,167.525,157.514,148.435,141.57399999999998,139.525,129.38299999999998,,,,-2147483648,b'2666-701-1  ',1635378410781933568,2051023699057427200,844109,2015.0,290.6215864250666,0.1652714729211992,37.17454395999748,0.37815347203151856,1.2463574452264357,0.5621305426229274,-9.367624599622744,3.3120690495961544,-11.173629748594692,1.157949845066458,0.49986645579338074,0.5773718953132629,-0.7309834361076355,-0.3898065984249115,0.9496467113494873,-0.7973824143409729,-0.5900678634643555,-0.8687620162963867,-0.5802233815193176,0.6319296360015869,38,38,37,36,1,2,,0.30379935885838905,107.07000651094324,False,3.109619617462158,9.750096321105957,3.132991332677193e-05,5,8,False,0.5269263982772827,0.12202808260917664,0.6002902984619141,0.8481491804122925,-100.25750732421875,61.45201110839844,12.68162727355957,-14.51871109008789,51,666699.918341095,2577.552692433391,10.964944059010032,b'NOT_AVAILABLE',69.55573641109028,10.355150653298947,302.3033100064434,58.32326001479765,2.8836626433922553e-05
1571780,47.549,4.493,2MASS J19241413+3711431,4882,59.0,-217.0,2.588,0.032,-0.031,0.07,0.14,-0.41,2.939,0.202,-1.888,14.423,0.735,-5.707000000000001,0.0013800000000000002,0.0009025,-0.00014439999999999999,DSEP,10.610999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.0589,37.195309,11101111111111111,PHO1,AST9,KIC0,8.902999999999999,0.021,8.357000000000001,0.022000000000000002,8.226,0.022000000000000002,0.8201,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.101,7.1,7.1,7.101,7.1,7.1,7.1,102.05,116.55799999999999,130.2,140.095,153.205,170.685,175.373,182.886,191.727,194.88400000000001,195.31799999999998,195.58900000000003,195.86700000000002,195.797,,,,-2147483648,b'2666-1365-1 ',1635378410781933568,2051014593726758784,1376074,2015.0,291.0588567539069,0.1267061240769362,37.195237174196805,0.23158892586614271,1.0958938152140945,0.35395359347326094,-5.496649238870487,1.7520387173727032,-2.0887436509006445,0.7146843399455342,0.7235965728759766,0.7073855400085449,-0.6587792634963989,-0.3545726537704468,0.9403570890426636,-0.8793938159942627,-0.4964718222618103,-0.9186062812805176,-0.45100563764572144,0.589139461517334,63,63,62,63,1,0,,0.23806983675009535,67.7186598230729,False,2.514763116836548,14.504691123962402,2.6429193894728087e-05,5,12,False,0.33986759185791016,0.2839140295982361,0.31705087423324585,0.6277048587799072,-86.94416809082031,-26.673301696777344,22.802297592163086,-10.76290512084961,87,1032702.961538472,580.4002127412599,10.489831507658995,b'NOT_AVAILABLE',69.73208015150279,10.052384199639182,302.95215204762474,58.24940671093258,6.417002548813838e-05
1572780,18.402,2.734,2MASS J19250971+3708188,4903,98.0,-227.0,2.182,0.028999999999999998,-0.032,-0.5,0.24,-0.26,2.719,0.796,-1.56,22.162,3.0989999999999998,-7.582000000000001,0.00035180000000000004,0.0001834,-5.096e-05,DSEP,10.273,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.29047,37.138560999999996,11101111111111111,PHO1,AST9,KIC0,8.552,0.025,8.011000000000001,0.018000000000000002,7.898,0.021,0.82,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1160000000000005,7.1,7.1,7.1,7.184,7.1,65.804,74.008,84.274,93.272,104.86,122.35700000000001,128.08700000000002,139.46200000000002,158.276,171.947,181.606,192.27599999999998,196.387,225.75400000000002,,,,-2147483648,b'2666-1015-1 ',1635378410781933568,2051760955961185152,1838653,2015.0,291.29049789690384,0.16734243535131596,37.138478462703844,0.223457216326266,1.0900697897304976,0.3391251618581273,-3.449959901436148,1.0670085553237558,-10.065592107195188,0.936494117887918,0.008910823613405228,-0.010561230592429638,-0.49108102917671204,-0.06567591428756714,0.8788087964057922,-0.6675254106521606,-0.6339775323867798,-0.7480794191360474,-0.6305487155914307,0.5484094619750977,64,64,58,61,6,3,,0.30330377266255454,88.65651372590725,False,3.105071783065796,8.929807662963867,2.6222913220408373e-05,5,12,False,0.17987655103206635,0.05855149030685425,0.4440424144268036,0.6199052333831787,-89.40007019042969,-9.674202919006348,-0.9861364364624023,-8.236830711364746,90,1407075.3178536869,531.9764527188798,10.153976701467647,b'NOT_AVAILABLE',69.76449243285437,9.86192192097758,303.2597843537581,58.144471495904284,5.466900598819863e-05
1575886,101.001,8.098,2MASS J19274289+3709135,5127,86.0,-167.0,2.935,0.027999999999999997,-0.034,-0.32,0.24,-0.32,1.975,0.143,-0.831,7.93,0.52,-1.921,0.0055780000000000005,0.001906,-0.0006652,DSEP,11.395999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,291.92874,37.15377,11111111111111111,PHO1,AST9,KIC0,9.827,0.022000000000000002,9.386000000000001,0.021,9.263,0.018000000000000002,0.8756,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,145.602,150.285,154.688,154.274,156.623,156.107,154.731,152.18,146.982,139.814,133.843,128.53,127.035,118.848,,,,-2147483648,b'2666-406-1  ',1635378410781933568,2051728932683652224,975460,2015.0,291.928695662233,0.264056989060741,37.15372140012991,0.5356476287799589,1.3239702194187817,0.5295044894645057,-4.915072696871983,2.304856514339657,-8.697830094509237,2.500372681857891,0.5888245105743408,0.4519191086292267,-0.645751953125,-0.5094346404075623,0.3945673108100891,-0.5926278233528137,-0.8146266341209412,-0.8492235541343689,-0.14904248714447021,0.4160798192024231,81,81,81,75,0,6,,0.899796400138483,792.6060342638618,False,8.77802562713623,1.2051912546157837,3.761588959605433e-05,5,13,False,0.513805627822876,0.35595279932022095,0.3149110972881317,0.2790680527687073,-123.78559112548828,-81.81255340576172,35.99406433105469,-2.959791421890259,88,510081.62174021,1882.2525084825795,11.255670873423668,b'NOT_AVAILABLE',70.01130540282703,9.414926515327952,304.19226595408696,58.018168646041204,1.9326622109094546e-05
